Key;Type;Desc;English;Spanish;Italian;;;
Quote176;Text;Description (optional);I know you need prosperity, you need peace, and you need happiness. They shall come to you if you are willing to invest in life, if you are willing to invest in your children, if you are willing to invest in your relationships. You have to invest, because if you don’t, life will go sour. My prayer is that you must be aware that it is you and you alone who can invest in your own tomorrow so that you can be healthy, happy, and holy. |Yogi Bhajan|37451;Se que necesitas prosperidad, que necesitas paz, y que necesitas felicidad. Todas vendrán hacia ti si estas dispuesto a invertir en la vida, si estas dispuesto a invertir en tus hijos, si estas dispuesto a invertir en tus relaciones. Tienes que invertir, porque si no lo haces, la vida se vuelve amarga. Mi rezo es que tienes que ser consciente de que eres tu y solamente tu que eres capaz de invertir en tu propio mañana para poder ser saludable, feliz y bendito.|Yogi Bhajan|37451;So che voi avete bisogno di prosperità, che avete bisogno di pace e che avete bisogno di felicità. Verranno a voi se sarete disposti a investire nella vita, se sarete disposti a investire nei vostri bambini, se sarete disposti a investire nelle vostre relazioni. Dovete investire, perché se non lo fate, la vita si inacidirà. La mia preghiera è che dovete essere consapevoli che siete voi e solo voi a poter investire nel vostro domani, in modo che possiate essere in buona salute, felici e santi. |Yogi Bhajan|37451;;;
Quote177;Text;Description (optional);Everybody has God’s light and it must be lit by a person’s own discipline. And the glass to keep it lit and shining should be kept by the person’s own courage, strength and grit. I believe it. I believe this is the love.  |Yogi Bhajan|33080;Todo el mundo tiene la luz de Dios y debe ser encendida a través de la disciplina de cada persona. Y el vaso que la mantendrá brillando será mantenido por el valor, la fuerza y el coraje de la persona. Yo lo creo. Yo creo que eso es el amor.|Yogi Bhajan|33080;Ognuno ha la luce di Dio e deve essere illuminata dalla disciplina personale di ognuno. E il vetro che la tiene accesa e brillante dovrebbe essere sostenuto dal coraggio, dalla forza e dalla grinta personale. Io credo in questo. Io credo che questo sia l'amore.|Yogi Bhajan|33080;;;
Quote178;Text;Description (optional);In every walk of life, in every aspect of life, harmonious communication can bring success out of failure. It can give you authority, it can expand your personality, it makes people trust you, it can give you the power to touch the very depth of another person. It can also make you feel comfortable with the world we live in. -KRI Conscious Communication Manual|Yogi Bhajan|;En cada camino de la vida, en cada aspecto de la vida, una comunicación armoniosa puede darnos el éxito o el fracaso. Te puede dar autoridad, puede expandir tu personalidad, hace que la gente confíe en ti, te puede dar el poder de tocar la profundidad dentro del otro.  También te puede hacer sentir mas cómodo dentro del mundo en el que vivimos. - KRI Manual de Comunicación Consciente|Yogi Bhajan|;In ogni ambito della vita, in ogni aspetto della vita, la comunicazione armonica può portare al successo dal fallimento. Può conferirvi autorità, può espandere la vostra personalità, fa sì che le persone si fidino di voi, vi può dare il potere di toccare un'altra persona nel profondo. Può anche farvi sentire a vostro agio nel mondo in cui viviamo. - Manuale di Comunicazione Consapevole KRI|Yogi Bhajan|;;;
Quote179;Text;Description (optional);There is exactly one word in the whole dictionary which can represent God in you, which can bring knowledge in you, which can make you everything that you want to be, and that is “gratitude.” Attitude of gratitude is an ecstasy, a bliss, an accomplishment, an achievement. In English the word is ‘thank you.’ |Yogi Bhajan|34273;Hay una palabra exacta en todo el diccionario que puede representar a Dios en ti, que puede darte el conocimiento, que puede hacer que seas cualquier cosa que quieras ser, es la «gratitud». Una actitud de gratitud es el éxtasis, la dicha, un logro, un triunfo. En español la palabra es «Gracias.»|Yogi Bhajan|34273;"C'è esattamente una parola in tutto il dizionario che può rappresentare Dio in voi, che può portare la conoscenza in voi, che può rendervi tutto quello che volete essere, ed è “gratitudine”. L'attitudine di gratitudine è un'estasi, una beatitudine, un traguardo, un successo. In italiano la parola è ""grazie"". |Yogi Bhajan|34273";;;
Quote180;Text;Description (optional);Do not get attached to that which is given, be attached to the Giver. |Yogi Bhajan|35268;No te apegues a lo que se te da, apégate al Dador.|Yogi Bhajan|35268;Non affezionatevi a ciò che è dato, attaccatevi al Colui che dà. 22/07/1996|Yogi Bhajan|35268;;;
Quote181;Text;Description (optional);"Love is not enough; intelligence is not enough; powerful strength is not enough. You may put everything on one side of the scale, but if you are missing gratitude, you shall lose. |Yogi Bhajan|30860";"No basta con el amor; no basta con la inteligencia; una fuerza poderosa no es suficiente. Puedes colocarlo todo de un lado de la balanza, pero si no hay gratitud, perderás.|Yogi Bhajan|30860";"L'amore non è sufficiente; l'intelligenza non è sufficiente; la forza potente non è sufficiente. Potete mettere tutto su un lato della bilancia, ma se vi manca la gratitudine, voi perderete. 27/06/1984|Yogi Bhajan|30860";;;
Quote182;Text;Description (optional);You must appreciate your job, no matter how dirty it is. You must appreciate your misery, no matter how painful it is. The moment you start appreciating misery, it will run away. You don’t have to do anything. Misery doesn’t need appreciation. Misery needs to give you pain. The purpose of misery is to put you through pain. As soon as you start appreciating misery, its purpose is lost. How is misery going to be there? |Yogi Bhajan|30860;"Debes apreciar tu trabajo, sin importar cuan sucio sea. Debes apreciar tu miseria, sin importar cuan dolorosa sea. En el momento en que comienzas a apreciar tu miseria, esta desaparecerá. No tendrás que hacer nada mas. La miseria no necesita tu aprecio, la miseria necesita propiciarte dolor. Tan pronto como comiences a apreciarla, habrá perdido su propósito. ¿Como podría entonces seguir existiendo?
|Yogi Bhajan|30860";Voi dovete apprezzare il vostro lavoro, non importa quanto sia sporco. Voi dovete apprezzare la vostra tristezza, non importa quanto sia dolorosa. Nel momento in cui voi iniziate ad apprezzare la tristezza, scapperà via. Non dovete fare niente. Alla tristezza non serve l'apprezzamento. La tristezza ha necessità di farvi sentire dolore. Lo scopo della tristezza è quello di sottoporvi al dolore. Non appena iniziate ad apprezzare la tristezza, il suo scopo è perso. Come potrà mai la tristezza stare lì? |Yogi Bhajan|30860;;;
Quote183;Text;Description (optional);There is a more expansive experience of ecstasy. That’s the radiant body, that is God. You walk with the infinite God...you live in that, you are protected by that, but you don’t believe it, you don’t even understand it, you don’t participate with it. |Yogi Bhajan|32787;Existe una experiencia de éxtasis aun mas amplia. Es el cuerpo radiante, ese es Dios. Camina junto al Dios infinito...es ahi donde vives, es ahi donde estas protegido, pero no lo crees, ni siquiera lo entiendes, no participas.|Yogi Bhajan|32787;C'è un'esperienza più espansiva dell'estasi. Essa è il corpo radiante, che è Dio. Camminate con l'infinito Dio... voi vivete in questo, siete protetti da questo, ma non ci credete, non lo capite neanche, non vi prendete parte. |Yogi Bhajan|32787;;;
Quote184;Text;Description (optional);"Truthfulness has three virtues: individual truth, circumstantial truth, and Infinite Truth. Nobility has only one virtue; it is true now, it is true ever, and ever it shall be true.|Yogi Bhajan|28673";"La veracidad tiene tres virtudes: la verdad individual, la verdad circunstancial, y la verdad infinita. La nobleza tiene solamente una virtud; es verdadera ahora, es verdadera siempre y por siempre será la verdad.|Yogi Bhajan|28673";"La veridicità ha tre virtù: verità individuale, verità circostanziale e Verità Infinita. La nobiltà ha una sola virtù; è vera ora, è sempre stata vera e sarà sempre vera. |Yogi Bhajan|28673";;;
Quote185;Text;Description (optional);When you have to say nothing, do nothing, be nothing, then what are you? You know what you are? You are a lighthouse, so nobody else can wreck near you. That is the one thing in life you have to do. Forklift. Spread the light. Be the lighthouse. So every journey, every destiny, every distance can be safe. |Yogi Bhajan|31865;Cuando no tienes nada que decir, nada que hacer, nada que ser, entonces ¿Que eres? ¿Sabes lo que eres? Eres un faro de luz, para que nadie pueda naufragar cerca de ti. Eso es lo principal que debes de hacer en la vida. Elevar. Difundir la luz. Se un faro luminoso, para que cada dia, cada destino, cada distancia pueda estar a salvo.|Yogi Bhajan|31865;Quando non dovete dire niente, non fare niente, non essere niente, allora cosa siete? Sapete cosa siete? Siete un faro, così che nessuno vicino a voi può andare alla deriva. Questa è l'unica cosa nella vita che dovete fare. Carrello elevatore. Diffondete la luce. Siate il faro. Così che ogni viaggio, ogni destino, ogni distanza possano essere sicuri.|Yogi Bhajan|31865;;;
Quote186;Text;Description (optional);Let us reach out, let us hail Guru Ram Das and heal the world from treachery and from torture, from this mental confusion, from permanent depression, from cold anger that never leaves, and let us only like our real self. The real self is gracious, is recognizable. The real self shines. |Yogi Bhajan|37661;Tendamos la mano, acerquémonos a Guru Ram Das y sanemos al mundo de la traición y la tortura, de su confusión mental, de la permanente depresión, del enojo frío que nunca se va, y apreciemos únicamente a nuestro ser real. El verdadero ser es gracioso, es reconocible. El verdadero ser brilla. |Yogi Bhajan|37661;Raggiungiamo, acclamiamo Guru Ram Das e guariamo il mondo dal tradimento e dalla tortura, da questa confusione mentale, dalla depressione permanente, dalla rabbia fredda che non abbandona mai e amiamo soltanto il nostro vero sé. Il vero sé è gentile, è riconoscibile. Il vero sé brilla. |Yogi Bhajan|37661;;;
Quote187;Text;Description (optional);Peace cannot be acquired or achieved with war. War cannot be stopped with another war. Peace can be achieved only by bringing peace within yourself, within your personality. One individual grows, ten grow, hundred, thousand, million, ten million, billion, ten billion—the whole world will come under peace. And the world has to live under peace. People will live under peace. There will be no place for war. And those who seek war will get tired of it. |Yogi Bhajan|25494;La paz no puede adquirirse o alcanzarse a través de la guerra. La guerra no puede detenerse con otra guerra. Solamente puedes lograr la paz si logras la paz dentro de  ti mismo, dentro de tu persona. Si un individuo crece, diez mas crecerán, cien, mil, un millón, diez millones, billones, diez billones – el mundo entero estará en paz. El mundo tiene que vivir en paz. La gente vivirá en paz. No habrá cabida para la guerra. Y aquellos que buscan la guerra se cansaran de ella.|Yogi Bhajan|25494;La pace non può essere ottenuta o raggiunta con la guerra. La guerra non può essere fermata con un'altra guerra. La pace può essere raggiunta solo portando la pace dentro di voi, all'interno della vostra personalità. Un individuo cresce, dieci crescono, centinaia, migliaia, milioni, decine di milioni, miliardi, decine di miliardi - il mondo intero vivrà in pace. E il mondo deve vivere in pace. La persone vivranno in pace. Non ci sarà posto per la guerra. E coloro che cercheranno la guerra se ne stancheranno. |Yogi Bhajan|25494;;;
Quote188;Text;Description (optional);Life happens for happiness- a simple law. But few can enjoy it because every action has to be rhythmic and rhythm cannot be maintained when you are unconscious. |Yogi Bhajan|32489;La razón de la vida es la felicidad – es una ley simple. Pero pocos pueden disfrutar de ella porque cada acción tiene que ser rítmica y el ritmo no se puede mantener cuando estas en la inconsciencia. |Yogi Bhajan|32489;La vita avviene per la felicità, è una legge semplice. Ma pochi possono goderne perché ogni azione deve essere ritmica e il ritmo non può essere mantenuto quando non si è consapevoli. |Yogi Bhajan|32489;;;
Quote189;Text;Description (optional);I believe that the worse a person is, the more sympathy he needs, the more kindness he needs, the more compassion he needs. |Yogi Bhajan|32489;Yo creo que entre peor sea una persona, mas simpatia necesita, mas bondad necesita, mas compasión necesita. |Yogi Bhajan|32489;Credo che quanto più una persona è peggiore, tanta più empatia necessita, tanto più gentilezza necessita, tanta più compassione necessita. |Yogi Bhajan|32489;;;
Quote190;Text;Description (optional);Life which points out your relationship to your Higher Self is life which is out to establish spiritual credit. Establishing credit with spiritual integrity means you can be trusted, you are convincing, you are persuasive, you are dynamic and beautiful. |Yogi Bhajan|29801;La vida que hace énfasis en tu relación con tu mas elevado Ser es una vida que cuenta con crédito espiritual. Establecer un crédito con integridad espiritual  significa que eres fiable, que eres convincente, eres persuasivo, eres dinámico y hermoso.|Yogi Bhajan|29801;La vita che mette in evidenza la vostra relazione con il vostro Sé Superiore è la vita manifestata per stabilire credito spirituale. Stabilire credito con integrità spirituale significa che ci si può fidare di voi, che siete convincenti, siete persuasivi, dinamici e belli.|Yogi Bhajan|29801;;;
Quote191;Text;Description (optional);"You have to be conscious; but how? If you do not develop your meditative power and purify your mind enough to relate to your soul, the strength, and to your body, the projection, you are not a complete human being. |Yogi Bhajan|30143";"Tienes que ser consciente; pero ¿Como? Si no desarrollas tu poder meditativo y purificas tu mente lo suficiente como para relacionarte con tu alma, tu fuerza, con tu cuerpo, tu proyección, no serás un ser humano entero.|Yogi Bhajan|30143";"Dovete essere consapevoli; ma come? Se non sviluppate il vostro potere meditativo e purificate abbastanza la vostra mente per correlarvi alla vostra anima, la forza, e al vostro corpo, la proiezione, non siete un essere umano completo.|Yogi Bhajan|30143";;;
Quote192;Text;Description (optional);The mind has three faculties: negative, positive and neutral. If you want to live happy, act through the neutral mind, not with the negative or positive mind. |Yogi Bhajan|30875;La mente cuenta con tres facultades : es negativa, positiva y neutral. Si quieres vivir feliz, actua a traves de la mente neutral, no con la mente negativa o la positiva.|Yogi Bhajan|30875;La mente ha tre facoltà: negativa, positiva e neutra. Se volete vivere felici, agite attraverso la mente neutra, non con la mente negativa o positiva.|Yogi Bhajan|30875;;;
Quote193;Text;Description (optional);"Glands are the guardians of health. Your glandular system doesn’t work. The glandular system does not secrete. If you don’t take a cold shower, your capillaries are not going to open; your inner system is not invigorated; and you don’t match up to the sensory system of your body. |Yogi Bhajan|35269";"Las glándulas son las guardianas de la salud. Tu sistema glandular no funciona. El sistema glandular no esta secretando. Si no tomas una ducha fría, tus capilares no se abrirán; tu sistema interno no esta vigorizado; y no corresponderás con el sistema sensorial de tu cuerpo.|Yogi Bhajan|35269";"Le ghiandole sono le guardiane della salute. Il vostro sistema ghiandolare non funziona. Il sistema ghiandolare non secerne. Se non fate una doccia fredda, i vostri capillari non si apriranno; il vostro sistema interno non è rinvigorito; e non vi allineerete al sistema sensoriale del vostro corpo.|Yogi Bhajan|35269";;;
Quote194;Text;Description (optional);The fight is between the I and Thou, and it’s a cutthroat fight within the given time and space. It can never change. Religion or no religion, God or no God, man or no man, reality stands revealed and it cannot be different. Therefore, those of you who have faith, rejoice. The answer to our problem is: Count the blessings and forget the disgrace. |Yogi Bhajan|32320;La lucha es entre el Yo y el Tu, y es una lucha feroz entre el momento determinado y el espacio. Nunca cambiara. Con o sin religión, con Dios o sin Dios, hombre o no, la realidad permanece a descubierto y esto no puede ser diferente. Por lo tanto, aquellos que tienen fe, regocjense. La respuesta a nuestro problema es: Contar las bendiciones y olvidar la desgracia.|Yogi Bhajan|32320;La lotta è tra l'Io e il Tu, ed è una lotta spietata entro il tempo e lo spazio dati. Non può cambiare mai. Con o senza religione, con o senza Dio, con o senza uomo, la realtà permane rivelata e non può essere diversamente. Pertanto, chi ha fede gioisca. La risposta al nostro problema è: contare le benedizioni e dimenticare la disgrazia. |Yogi Bhajan|32320;;;
Quote195;Text;Description (optional);To be honest with you, I’m not interested in how bad you are. All I’m interested in is how good you can be. I see goodness and I want everybody to have it. |Yogi Bhajan|31959;Para ser honesto contigo, no me interesa que tan malo seas. Lo único que me interesa es lo bueno que puedes ser. Yo veo la bondad y deseo que todos puedan tenerla.|Yogi Bhajan|31959;Per essere onesto con voi, non mi interessa quanto siate cattivi. Tutto quello che mi interessa è quanto potete essere buoni. Io vedo il bene e voglio che tutti ce l'abbiano.|Yogi Bhajan|31959;;;
Quote196;Text;Description (optional);Friendship is a fulfillment of destiny, like two tributaries flowing together and becoming one river.|Yogi Bhajan|30141;La amistad es una culminación del destino, del mismo modo que dos afluentes fluyen juntos y se convierten en un río. |Yogi Bhajan|30141;L'amicizia è un adempimento del destino, come due affluenti che scorrono insieme e diventando un fiume.|Yogi Bhajan|30141;;;
Quote197;Text;Description (optional);We should learn to contain our negativity. God gave you the negative mind just to see through where you can be damaged. God didn’t give you the negative mind to become negative. |Yogi Bhajan|35541;Debemos aprender a contener nuestra negatividad. Dios te ha dado la mente negativa para ver por donde podrías ser dañado. Dios no te dio la mente negativa para que tu te vuelvas negativo. |Yogi Bhajan|35541;Dovremmo imparare a contenere la nostra negatività. Dio vi ha dato la mente negativa solo per intravedere ciò che potrebbe danneggiarvi. Dio non vi ha dato la mente negativa per diventare negativi. |Yogi Bhajan|35541;;;
Quote198;Text;Description (optional);Mantra is a powerful combination of words which, if recited, takes the vibratory effect of each of your molecules into the Infinity of the Cosmos. That is called “Mantra.” |Yogi Bhajan|35542;El Mantra es una combinación poderosa de palabras que, recitadas, toman el efecto vibratorio de cada una de tus moléculas hacia la Infinidad del Cosmos. A eso se le llama «Mantra.» |Yogi Bhajan|35542;Il Mantra è una potente combinazione di parole che, se recitato, porta l'effetto di vibrazione di ciascuna delle vostre molecole nell'Infinito del Cosmo. Questo è chiamato “Mantra”. |Yogi Bhajan|35542;;;
Quote199;Text;Description (optional);"There is no power, nor worship in this universe greater than prayer; there is no love other than prayer. |Yogi Bhajan|30146";"No existe poder ni culto en este universo mas grande que la oración; no existe otro amor que la oración.|Yogi Bhajan|30146";"Non c'è alcun potere, né venerazione in questo universo maggiore della preghiera; non esiste un amore diverso dalla preghiera. |Yogi Bhajan|30146";;;
Quote200;Text;Description (optional);The telephone is nothing but you. The television is nothing but you. People used to have vision, now you have television, but the difference between television and vision is, in your vision you can  see what you want to see or not see, with concern for your psyche. In television it is what you are being shown.|Yogi Bhajan|35272;El teléfono no es otra cosa que tu. La televisión no es otra cosa que tu. La gente solía tener visión, ahora tienen televisión, pero la diferencia entre televisión y visión es que dentro de tu visión puedes ver lo que quieres y no ver lo que no quieres para cuidar a tu psique. En la televisión ves solo lo que se te muestra. |Yogi Bhajan|35272;"Il telefono non è altro che voi. La televisione non è altro che voi. La gente era solita avere la visione, ora voi avete la televisione, ma la differenza tra la televisione e la visione è  che nella vostra visione voi potete vedere ciò che desiderate vedere o non vedere, con preoccupazione per la vostra psiche. In televisione ""è"" quello che vi viene mostrato. |Yogi Bhajan|35272";;;
Quote201;Text;Description (optional);This is the body-through its touch, its sight and its expression, you are going to heal the world. |Yogi Bhajan|35541;Este es el cuerpo - a través de su tacto, su visión y su expresión, vas a sanar al mundo. |Yogi Bhajan|35541;Questo è il corpo - attraverso il suo tocco, la sua vista e la sua espressione, voi guarirete il mondo.|Yogi Bhajan|35541;;;
Quote202;Text;Description (optional);Meditation is nothing but a self-invoked hypnotic dream. The proper translation of meditation is, “Self-invoked hypnotic dream in which you clean Your subconscious.” |Yogi Bhajan|35541;La meditación no es otra cosa que un sueño hipnótico en el que uno mismo se induce. La traducción correcta de la meditación es, «El sueño hipnótico inducido por uno mismo en el cual limpias tu subconsciente.» |Yogi Bhajan|35541;"La meditazione non è altro che un sogno ipnotico autorichiamato. La traduzione corretta di meditazione è, ""sogno ipnotico autorichiamato nel quale ripulite il Vostro subconscio"".|Yogi Bhajan|35541";;;
Quote203;Text;Description (optional);It doesn’t matter who you are, you can never change a man and you can never change a woman. You have longitude and latitude- you need altitude and attitude. Attitude is to appreciate. |Yogi Bhajan|35543;No importa quien seas, nunca podrás cambiar a un hombre y nunca podrás cambiar a una mujer. Tienes longitud y latitud – necesitas altitud y actitud. La actitud es apreciar. |Yogi Bhajan|35543;Non importa chi siete, non potete mai cambiare un uomo e non potete mai cambiare una donna. Voi avete longitudine e latitudine, voi avete bisogno di altitudine e attitudine. L’attitudine è l'apprezzamento. |Yogi Bhajan|35543;;;
Quote204;Text;Description (optional);"Those who believe in Guru Nanak say no to nothing. Deny your love to nothing, deny your charity to nothing, deny your grace to none, nobility to none.  Share it; God will give you an abundance. |Yogi Bhajan|32482";"Aquellos que creen en Guru Nanak nunca se niegan a nada. No niegues tu amor a nadie, no niegues tu caridad a nadie, no niegues tu gracia a nadie, no niegues tu nobleza. Compártelo; Dios te dará en abundancia. |Yogi Bhajan|32482";"Coloro che credono in Guru Nanak non dicono di no a niente. Non negate il vostro amore per niente, non negate la vostra carità per niente, non negate la vostra grazia a nessuno, la nobiltà a nessuno.  Condividetelo; Dio vi darà abbondanza. |Yogi Bhajan|32482";;;
Quote205;Text;Description (optional);"It is for you to give the message to your own mind; it is for you to give the message to your own soul; it is for you to untangle your own ego. No special method is required. You don’t have to hang upside down; you don’t have to sit on the bottom of the ocean; you don’t have to leave the entire world. This world is circling without you and it will continue circling without you. You only have to take care of your own circle, consciously. Speak politely, be kind to others and understand one thing: righteousness is the self’s best luck. |Yogi Bhajan|30150";"Te toca a ti dar el mensaje a tu propia mente; te toca a ti dar el mensaje a tu alma; te toca a ti desenredar a tu propio ego. No se requiere ningún método especial. No te tienes que colgar boca abajo; no tienes que sentarte en el fondo del océano; no tienes que abandonar al mundo entero. Este mundo esta girando sin ti y sin ti seguirá girando. Solo tienes que cuidar de tu propio giro, de manera consciente. Habla cortésmente, se amable con los demás y entiende una cosa: la rectitud es tu mejor suerte.|Yogi Bhajan|30150";"Sta a voi dare il messaggio alla vostra mente; sta a voi dare il messaggio alla vostra anima; sta a voi a districare il vostro ego. Non è richiesto alcun metodo specifico. Non dovete appendervi a testa in giù; non è necessario che vi sediate sul fondo dell'oceano; non dovete lasciare il mondo intero. Questo mondo sta girando senza di voi e continuerà a volteggiare senza di voi. Dovete solo prendervi cura della vostra orbita, coscientemente. Parlate educatamente, siate gentili con gli altri e capite una cosa: la giustizia è la migliore fortuna del sé. |Yogi Bhajan|30150";;;
Quote206;Text;Description (optional);The secret of greatness is that when everything falls apart, you stay great. |Yogi Bhajan|29758;El secreto de la grandeza es que cuando todo se cae, tu permaneces grande. |Yogi Bhajan|29758;Il segreto della grandezza è che quando tutto cade a pezzi, voi rimanete grandi.|Yogi Bhajan|29758;;;
Quote207;Text;Description (optional);“I am a human and my life score is only one breath.” It comes in, it goes out. If it doesn’t, you are gone. Now tell me, why don’t you recognize each breath as yourself and recognize its value and its control?|Yogi Bhajan|35603;«Soy un ser humano y la anotación de mi vida es una sola respiración.» Ella entra y sale. Si no lo hace, te vas. Ahora dime, ¿Porque no reconoces a cada respiración como tu propio ser y reconoces su valor y su control? |Yogi Bhajan|35603;"""Io sono un essere umano e il mio punteggio di vita è solo un respiro"". Entra ed esce. Se non lo fa, voi siete andati. Ora ditemi, perché non riconoscete ogni respiro come voi stessi e riconoscete il suo valore e il suo controllo? |Yogi Bhajan|35603";;;
Quote208;Text;Description (optional);Slowly and gradually mankind will develop the lenses which can re-print the auras. We are just in very beginning stages. But I wish that when it will come to you, you will surprisingly see how beautiful, bright and gracious you look.|Yogi Bhajan|36335;Lenta y gradualmente la humanidad desarrollara lentes que puedan re-imprimir las auras. Estamos apenas en los primeros pasos. Pero deseo que cuando te llegue el momento, puedas ver lo sorprendentemente hermoso, luminoso y bondadoso que te ves. |Yogi Bhajan|36335;Lentamente e gradualmente l'umanità svilupperà le lenti che possono ristampare le Aure. Noi siamo appena nelle fasi iniziali. Ma vorrei che quando toccherà a voi, sorprendentemente vedrete quanto siete belli, luminosi e gentili. |Yogi Bhajan|36335;;;
Quote209;Text;Description (optional);We are a simple, living, human being, and we should watch our living, and hear our inner sound, which is pure love, pure life, pure existence. |Yogi Bhajan|33201;Somos un simple ser humano viviente, y deberíamos observar nuestra vida, escuchar nuestro sonido interno, que es puro amor, pura vida, pura existencia. |Yogi Bhajan|33201;Noi siamo semplici esseri umani viventi e dovremmo guardare il nostro modo di vivere e sentire il nostro suono interiore, che è amore puro, vita pura, pura esistenza.|Yogi Bhajan|33201;;;
Quote210;Text;Description (optional);The art of communication is simple and it must flow from you. Neither react nor act negatively in communication. It is very dangerous. There’s no solution to it. It will take away all your merits. It will leave you hollow, shallow, in pain. That is the power of the negative bani. -KRI Conscious Communication Manual|Yogi Bhajan|;El arte de la comunicación es simple y debe de manar de ti. No reacciones ni actúes negativamente en la comunicación. Es muy peligroso. No hay otra solución. Apartara todos tus méritos. Te dejara vacío, superficial, dolorido. Ese es el poder de un bani negativo. -KRI Manual de Comunicación Consciente|Yogi Bhajan|;L'arte della comunicazione è semplice e deve fluire da voi. Non reagite né agite negativamente nella comunicazione. È molto pericoloso. Non esiste una soluzione a questo. Vi toglierà tutti i meriti. Vi lascerà vuoti, poco profondi, nel dolore. Questo è il potere del bani (inno) negativo. - Manuale di Comunicazione Consapevole KRI|Yogi Bhajan|;;;
Quote211;Text;Description (optional);‘Hail Guru Ram Das and heal the world.’ It is his problem to heal. Your problem is to insert him into it. You have nothing to worry about. If he doesn’t heal, his name will be spoiled—what’s it to you? Most of the time you do not know what to do, true? There are so many times I don’t know what to do. So, I insert Him into it. |Yogi Bhajan|35545;«Alabanzas Guru Ram Das, sana al mundo.» Curar es asunto suyo. Tu trabajo es invitarlo a hacerlo. No tienes nada de que preocuparte. Si el no sana, arruinaría su nombre – ¿Que mas te da? La mayor parte del tiempo no sabes que hacer, ¿Cierto? Hay tantas veces en que yo no se que hacer. Así es que lo invito a El a hacerlo. |Yogi Bhajan|35545;"""Acclamate Guru Ram Das e guarite il mondo"". Guarire è un suo problema. Il vostro problema è quello di coinvolgerLo. Non avete nulla di cui preoccuparvi. Se lui non guarisce, la sua reputazione sarà rovinata, a voi cosa importa? Il più delle volte voi non sapete cosa fare, vero? Ci sono così tante volte in cui io non so cosa fare. Così, Lo coinvolgo. |Yogi Bhajan|35545";;;
Quote212;Text;Description (optional);God gives to those who are open-minded and open-hearted. Let God come in and prosperity come in. Let God always bless you.|Yogi Bhajan|37619;Dios da a aquellos que son de mente y corazón abiertos. Deja entrar a Dios, deja entrar a la prosperidad. Permite que Dios te bendiga siempre. |Yogi Bhajan|37619;Dio dà a coloro che sono di mentalità aperta e cuore aperto. Lasciate entrare Dio e la prosperità entrerà. Che Dio vi benedica sempre. |Yogi Bhajan|37619;;;
Quote213;Text;Description (optional);Kindness is the mother of Truth and compassion is the father of Truth. When compassion and kindness join, Truth is born. |Yogi Bhajan|30147;La bondad es la madre de la Verdad y la compasión es el padre. Cuando la compasión y la bondad se unen, nace la Verdad. |Yogi Bhajan|30147;La gentilezza è la madre della Verità e la compassione è il padre della Verità. Quando la compassione e la gentilezza si uniscono, nasce la Verità.|Yogi Bhajan|30147;;;
Quote214;Text;Description (optional);Gratitude is a prayer and praise put together, because God is in all. We must pray and praise all the time and then you can see God in all, otherwise you cannot see God at all.|Yogi Bhajan|33480;La gratitud es es una oración y una alabanza juntas, porque Dios esta en todo. Debemos orar y alabar constantemente y entonces podremos ver a Dios en todo, de otro modo no podemos ver a Dios en absoluto. |Yogi Bhajan|33480;La gratitudine è una preghiera e una lode messe insieme, perché Dio è in tutto. Dobbiamo pregare e lodare sempre e poi potrete vedere Dio in tutto, altrimenti non potrete vedere Dio in niente.|Yogi Bhajan|33480;;;
Quote215;Text;Description (optional);It is very essential that we must elevate ourselves within ourselves, and elevate everything which we feel, touch, know, and understand. This planet Earth is an amazing experiment, and it is totally amazing to understand that we have never understood the forces of “unison-ness.”|Yogi Bhajan|32787;Es esencial que nos elevemos dentro de nosotros mismos, y que elevemos todo lo que sentimos, tocamos, sabemos y comprendemos. Este planeta Tierra es un experimento increíble, y es increíblemente asombroso entender que nunca hemos comprendido las fuerzas del «uni-sono.» |Yogi Bhajan|32787;"È molto essenziale dover elevare noi stessi dentro noi stessi, ed elevare tutto ciò che sentiamo, tocchiamo, conosciamo e capiamo. Questo pianeta Terra è un esperimento straordinario, ed è del tutto sorprendente capire che non abbiamo mai capito le forze di ""unisono-armonia"". |Yogi Bhajan|32787";;;
Quote216;Text;Description (optional);You have to understand your basic strength of life: the power to prevail is in the breath of your life. On average you breathe fifteen breaths a minute. In certain abnormal over-activity situations you can breathe up to twenty-six breaths a minute. Or in self-controlled, disciplined way you can breathe one breath a minute. Whenever you breathe consciously five breaths a minute, you can move the psyche as you desire.|Yogi Bhajan|33781;Tienes que entender tu fuerza básica en la vida: el poder de prevalecer esta en el aliento de vida. En promedio realizas quince respiraciones por minuto. En ciertos momentos de actividad excesiva puedes respirar hasta veintiséis respiraciones por minuto. O bien, de manera serena, controlada y disciplinada puedes hacer una respiración por minuto. Siempre que respires de manera consciente cinco respiraciones por minuto, serás capaz de mover tu psique como lo desees. |Yogi Bhajan|33781;Dovete capire la vostra forza di base della vita: il potere di prevalere è nel respiro della vostra vita. In media fate quindici respiri al minuto. In certe situazioni anomale di iper-attività potete fare fino a ventisei respiri al minuto. O in modo autocontrollato e disciplinato potete fare un respiro al minuto. Ogni volta che respirate consapevolmente al ritmo di cinque respiri al minuto, potete spostare la psiche come volete. |Yogi Bhajan|33781;;;
