Key;Type;Desc;Author;Date;English;Spanish;Italian;German;Portuguese;French
71;Text;;Yogi Bhajan;The Master’s Touch;"The one who practices Kundalini Yoga commands the five tattvas, the three gunas, the seven chakras, and all 108 elements in the universe, including a conscious creation of the Creator. Kundalini Yoga is not a religion; religions came out of it. Kundalini Yoga is not a fad and it’s not a cult. It is a practice of experience of a person’s own dormant excellence that is awakened. ";Aquél que practica Kundalini Yoga manda sobre los cinco tattwas, las tres gunas, los siete chakras, y todos los 108 elementos en el universo, incluyendo una creación consciente del Creador.  Kundalini Yoga no es una religión, la religión salió de adentro de ella.  Kundalini Yoga no es una moda y no es un culto.  Es una práctica de experiencia de la propia excelencia dormida de una persona que es despertada.;;Der Mensch, der Kundalini Yoga praktiziert, kommandiert die 5 Tattvas, die 3 Gunas, die 7 Chakras und alle 108 Elemente des Universums, einschließlich der bewussten Schöpfung des Schöpfers. Kundalini Yoga ist keine Religion. Religionen sind aus ihm hervorgegangen. Kundalini Yoga ist keine Mode und kein Kult. Es ist die Praxis der Erfahrung der verborgenen Excellenz in einem Menschen, die erwacht ist.;"Aquele que pratica Kundalini Yoga comanda os cinco tattvas, as três gunas, os sete chakras e todos os 108 elementos no universo, incluindo uma criação consciente do Criador. Kundalini Yoga não é uma religião; religião resulta dela. Kundalini Yoga não é uma moda e não é um culto. É uma prática de experiencia da excelência dormente da própria pessoa que é despertada. ";Celui qui pratique le Yoga Kundalini commande les cinq Tattvas, les trois gunas, les sept chakras et les 108 éléments de l’univers y compris la conscience création du Créateur. Le Yoga Kundalini n’est pas une religion, les religions en émanent. Le Yoga Kundalini n’est ni une lubie, ni un culte. C’est une pratique pour l’expérience de l’éveil de l’excellence d’une personne. 
72;Text;;Yogi Bhajan;"12/20/1999
";This life is not for wasting. It is for reaching the wonderland of your own consciousness. ;Esta vida no es para desperdiciarla.  Es para alcanzar la tierra maravillosa de tu propia conciencia.;;"Dieses Leben ist nicht dazu da, es zu verschwenden. 
Es ist dazu da, uns in das Wunderland unseres eigenen Bewusstseins zu führen.
";Esta vida não é para ser desperdiçada. É para alcançar o país das maravilhas da sua própria consciência. ;Cette vie n’est pour être gaspillée. Elle est pour atteindre le monde merveilleux de votre propre conscience.
73;Text;;Yogi Bhajan;11/2/1992;Just ask yourself if you are totally free of everything but yourself. The fact is, you are free of yourself but attached to everything else. That is called maya. Divinity is when you are free of everything, but you know yourself. ;Simplemente pregúntate a ti mismo si es que estás totalmente libre de todas las cosas excepto tú mismo.  El caso es que estás libre de ti mismo pero apegado a todas las otras cosas.  Eso se llama maya.  La divinidad es cuando estás libre de todo, pero te conoces a ti mismo.;;Beantworte dir die Frage, ob du auf alles verzichten könntest, mit Ausnahme deines inneren Selbst. Tatsache ist, du verzichtest auf dein Selbst und meinst alles andere zu brauchen. Das nennt man Maya. Du betrittst das Reich des Göttlichen, wenn du um dich selbst weißt und dich von allem anderen befreit hast.;Pergunte-se somente se você está totalmente livre de tudo a não ser você. O fato é que você está livre de tudo, mas atado a tudo.Isto é chamado Maya. Divindade é quando você está livre de tudo, mas conhece a si mesmo.;Demandez-vous juste si vous êtes totalement libre de tout et de vous-même. Le fait est que vous êtes libre de vous-même mais attaché à tout le reste, cela s’appelle Maya. La divinité c’est quand vous êtes libre de tout, mais que vous vous connaissez. 
74;Text;;Yogi Bhajan;19/3/1991;Everybody defines freedom as it suits them. The only freedom one has to get is to free one’s intellect from the ego, and put it under the control of the id. And that is done by those who have command of their sixth chakra. ;Todos definen la libertad como a ellos les conviene.  La única libertad que uno tiene que conseguir es liberar el propio intelecto del ego, y ponerlo bajo el control del id.  Y eso es logrado por aquellos que tienen comando sobre su sexto chakra.;;Jeder definiert Freiheit, wie es ihm passt. Die einzige Freiheit, die wir erringen sollten, ist die Freiheit des Intellekts vom Ego, um es unter die Kontrolle des Bewusstseins zu bringen. Das kann von denen getan werden, die gelernt haben, ihr 6. Chakra befehligen.;Todos definem liberdade como lhes convêm. A única liberdade que alguém tem que obter é libertar o intelecto do ego, e colocá-lo sob o controle da identidade. E isso é feito por aqueles que têm o comando do sexto chakra. ;Tout le monde défini la liberté comme il lui convient. La seule liberté à obtenir est celle de libérer son intellect de l’ego et de la mettre sous le contrôle de l’identité. Et cela est fait par ceux qui ont le contrôle de leur sixième chakra.
75;Text;;Yogi Bhajan;1/8/2001;"The time has come of self-value. And the question is not: ‘To be or not to be;’ the statement is: ‘To be to be. I am I am.’ The time has come not to search for God, but to be God. The time is not to worship God, but to trust and dwell in the living God. ";Ha llegado el tiempo de valorar el ser.  Y la pregunta no es:  ‘Ser o no ser’, la declaración es ‘Ser, ser.  Yo soy, yo soy.’  El tiempo ha llegado no para buscar a Dios, sino para ser Dios.  Los tiempos no están para alabar a Dios, sino confiar y habitar en el Dios viviente.;;Die Zeit größerer Selbst Wertschätzung ist gekommen. Die Frage ist nicht länger, „Sein oder nicht Sein“, sondern unser Statement ist: „Lasst uns sein, was wir sind.“ – „Ich bin – ich Bin.“ Es ist Zeit, nicht länger Gott zu suchen, sondern Gott zu sein.“ In dieser Zeit geht es nicht darum, Gott anzubeten, sondern ihm zu vertrauen, und uns im lebendigen Gott geborgen zu fühlen.;"Chegou a hora da valorização do ser. E a questão não é:”Ser ou não ser”; a declaração é: Ser, ser. Eu sou, eu sou. Chegou a hora de não procurar por Deus; mas de ser Deus. Tempo, não para adorar Deus, mas para acreditar e habitar no Deus vivente. ";"Le temps est venu de s’estimer. Et la question n’est pas : « Être ou ne pas être»; la déclaration est : « Être, être. Je suis, je suis. » Le temps est venu non pas pour rechercher Dieu, mais pour être Dieu. Le temps n’est pas pour adorer Dieu, mais pour faire confiance et demeurer en Dieu. "
76;Text;;Yogi Bhajan;12/2/1992;Nobody can give anybody God, nobody can give anybody happiness, and nobody can tell anybody what to do. ;Nadie puede darle Dios a nadie, nadie puede darle felicidad a nadie, y nadie puede decirle a nadie qué hacer.;;Niemand kann einen anderen zu Gott bringen. Niemand kann einem anderen Glück schenken. Niemand kann einem anderen sagen, was er zu tun hat;Ninguém pode dar Deus a alguém, ninguém pode dar felicidade a alguém, e ninguém pode dizer a alguém o que fazer. ;Personne ne peut donner Dieu à quiconque, personne ne peut donner le bonheur à quiconque et personne ne peut dire quoi faire à quiconque. 
77;Text;;Yogi Bhajan;15/7/1985;What is the difference between a person and a godly person? The person thinks yes and no, but a godly person sees nothing but God in everything and prays that God may come through and uplift. ;¿Cuál es la diferencia entre una persona y una persona divina?  La persona piensa sí y no, pero la persona divina no ve más qua a Dios en todo y ora para que Dios pueda venir a través e inspirar.;;Was ist der Unterschied zwischen einem normalem Menschen und einem Menschen, der zu Gott gehört? Der nbormale Mensch denkt in richtig und falsch, der Mensch, der zu Gott gehört, sieht nichts als Gott in allem und betet, dass Gott erfahrbar sein möge und alles erhebt.;Qual a diferença entre uma pessoa e uma pessoa devota? A pessoa pensa sim e não, mas uma pessoa devota vê nada mais que Deus em tudo e reza para que Deus possa surgir e elevar.;Quelle est la différence entre une personne et une personne religieuse ? Une personne pense oui et non, mais une personne religieuse ne voit rien d’autre que Dieu dans chaque chose et prie que Dieu puisse intervenir et élever.
78;Text;;Yogi Bhajan;10/7/1979;When a woman meditates and is prayerful, then what is born out of her becomes absolutely, purely, divine. ;Cuando una mujer medita y está siempre rezando, entonces lo que nace de ella se vuelve absolutamente, puramente divino.;;Wenn eine Frau meditiert und sich im Gebet versenkt, dann wird alles, was durch sie geboren wird, absolut rein und göttlich.;Quando uma mulher medita e é devota, então o que nasce dela torna-se divino puro e absolutamente.;Quand une femme médite et prie, ce qui naît d’elle devient absolument pur et divin. 
79;Text;;Yogi Bhajan;25/6/1998;When you are going through any trouble, duality, depression or misery, go into silence, go into thoughtlessness for a few moments. You will get an answer and you will come out of it in the best way. ;Cuando pases a través de cualquier problema, dualidad, depresión o miseria, entra en silencio, entra en un estado libre de pensamientos por unos momentos.  Recibirás una respuesta y saldrás de allí de la mejor manera.;;Wenn du in einmal Sorgen, Ärger, Trauer oder Schicksalsschläge erlebst, gehe für einige Momente in die Stille, in Gedankenlosigkeit. Du wirst eine Antwort bekommen und wirst bestens daraus zurückkommen.;Quando você esta passando por qualquer problema, dualidade, depressão ou miséria, vá para dentro do silêncio, vá para ausência de pensamentos por alguns instantes. Você obterá uma resposta e sairá disso da melhor forma possível.;Quand vous traversez un moment de difficulté, de dualité, de dépression ou de souffrance, faite le silence en vous, n’ayez aucune pensée pour quelques instants. Vous recevrez une réponse et vous vous en sortirez de la meilleure façon.
80;Text;;Yogi Bhajan;23/7/1987;Har is the healing sound. If you want something to happen, let the cosmos come to you.  ‘Har, car,’ a car will come. ‘Har, washing machine,’ a washing machine will come. It is a creative sound of total spirituality in proportionate radioactive projection of the psyche to create psychic phenomenon into reality. ;Har es el sonido de la sanación.  Si queires que algo suceda, deja que el cosmos venga a ti.  ‘Har, auto,’ vendrá un auto.  ‘Har, lavadora,’ vendrá una lavadora.  Es un sonido creativo de espiritualidad total en proyección radioactiva proporcional de la psique para crear de un fenómeno psíquico una realidad.;;"Har ist ein heilsamer Klang. Wenn du möchtest, dass etwas passiert, lasse den Kosmos zu dir kommen. Har Auto und das Auto kommt.
Har Waschmaschine und eine Waschmaschine wird kommen. Es ist ein schöpferischer Klang totaler Spiritualität in proportionaler radioaktiver Strahlkraft der Psyche, um eine psychische Phänomen in der Realität zu erschaffen.
";Har é o som curativo. Se você quer que algo aconteça, deixe o cosmos vir para você. ‘Har, carro, um carro virá. ‘Har, lava roupa,’ uma lava roupa virá. É um som criativo de total espiritualidade em  projeção radioativa proporcional da psique para criar um fenômeno psiquico em realidade.;Har est un son de guérison. Si vous voulez que quelque chose se produise, laissez le cosmos venir à vous. « Har, une voiture » et une voiture viendra. « Har, une machine à laver, un lave-linge viendra. C’est un son créatif totalement spirituel dans une projection radioactive proportionnée de la psyché pour créer un phénomène psychique dans la réalité. 
81;Text;;Yogi Bhajan;26/2/1991;You can always talk to somebody’s heart. You can never talk to anybody’s head.  Whenever you talk with the head it will be either to blame or to claim, it will be the biggest untruth you ever spoke. ;Tú siempre puedes hablarle al corazón de alguien.  Nunca puedes hablarle a la cabeza de alguien.  Cuando sea que hablas con la cabeza, será o para culpar o para quejarte, y será la mayor deshonestidad que jamás hayas dicho.;;Du kannst immer zum Herzen eines Menschen sprechen. Doch sprich niemals zu seinem Kopf. Wenn du das tust, tust du es für dein Ego. Es wird die größte Unwahrheit sein, die je gesprochen wurde.;Você nunca pode se livrar do medo - você pode apenas largar. E esse jeito é o mais fácil.;Vous ne pouvez jamais vous défaire de la peur, vous pouvez seulement la laisser tomber. Et c’est la façon la plus facile. 11/6/90
82;Text;;Yogi Bhajan;17/11/1993;One of the most beautiful actions we can take in our life, with a lot of courage and wisdom, is to relax. The One who has the power to rotate the Earth, shall take care of your routine.;Una de las acciones más bellas que podemos hacer en nuestras vidas, con gran coraje y sabiduría, es relajarnos.  El Uno que tiene el poder de hacer rotar la Tierra habrá de encargarse de nuestra rutina.;;Eine der schönsten Dinge, die du für dich tun kannst und die eine Menge Mut und Weisheit erfordern, ist zu entspannen. Der, der in der Lage ist, diese Erde rotieren zu lassen, kann sich auch um deine alltäglichen Dinge kümmern.;Uma das ações mais bonita que podemos ter na nossa vida, com muita coragem e sabedoria é relaxar. Aquele que tem o poder de girar a Terra pode tomar conta da nossa rotina.;Une des plus belles actions que nous pouvons faire dans notre vie avec beaucoup de courage et de sagesse, est de relaxer. Celui qui a le pouvoir de faire tourner la terre, peut prendre soin de votre routine. 
83;Text;;Yogi Bhajan;26/12/1997;"When a rosebud flowers, it has a fragrance; that is the moment the rose is prosperous. When a human is prosperous, there is a fragrance of security, grace, depth, character, truthfulness, which he and she can share. ";Cuando un botón de rosa florece, tiene su fragancia.  Ese es el momento en que la rosa es próspera, hay una fragancia de seguridad, de gracia, de profundidad, de carácter, de sinceridad, que él y ella pueden compartir.;;Wenn sich eine Rosenblüte öffnet, entströmt ihr Duft. In dem Moment erlebt sie die größte Entfaltung. Wenn  Menschen ihr größtes Potential entfalten, verströmen sie den Duft von Sicherheit, Anmut, Tiefe, Charakter und Wahrhaftigkeit , die sie mit anderen teilen können.;Quando um botão de rosa floresce, tem uma fragrância, este é o momento que a rosa é próspera. Quando um ser humano é próspero, existe uma fragrância de segurança, graça, profundidade, caráter, autenticidade que ele e ela podem compartilhar.;Quand le bouton de rose s’ouvre, elle dégage un parfum, c’est le moment où la rose est prospère. Quand un être humain est prospère, il dégage un parfum de sécurité, de grâce, de force, de caractère, d’authenticité, qu’il ou elle peut partager. 26/12/97
84;Text;;Yogi Bhajan;15/7/1982;Nothing that happens is beyond you and beyond God. Whatever is not known to you is not intuned in you because you do not know how to project your power of prayer. Prayer is a technology within a human being through which the unknown is known, the unseen is seen, the unheard is heard. ;Nada de lo que sucede está más allá de ti ni más allá de Dios.  Cualquier cosa que no sea conocida para ti no está sintonizada en ti porque tú no sabes cómo proyectar el poder de tu plegaria.  La plegaria es una tecnología dentro de un ser humano a través de la cual lo desconocido puede ser conocido, lo invisible puede ser visto, lo imperceptible puede ser escuchado.;;Was passiert ist nicht außerhalb von uns und nicht außerhalb von Gott. Was uns nicht bekannt ist, darauf sind wir nicht eingestimmt, weil wir nicht wissen, wie wir die Kraft unseres Gebetes einsetzen können. Das Gebet ist eine Technik im Inneren des Menschen, mit dem wir das Unsichtbare sehen, das Unhörbare hören und das Unbekannte erkennen können.;Nada que acontece está além de você e além de Deus. Tudo que não é conhecido para você não está afinado em você porque você não sabe como projetar seu poder de oração. Oração é uma tecnologia dentro do ser humano através do qual o desconhecido se torna conhecido, o invisível é visto, o inaudível é ouvido.;Rien de ce qui arrive n’est au-delà de vous ou de Dieu. Tout ce qui vous est inconnu n’est pas accordé en vous parce que vous ne savez pas comment projeter la puissance de votre prière. Prier est une technologie dans l’être humain par lequel l’inconnu est connu, l’invisible est visible, l’inaudible est audible.
85;Text;;Yogi Bhajan;31/7/1987;Listening is very weak in humans. Whatever little intuition we can hear, we don’t listen. We don’t relate to it. ;El escuchar es muy débil en los humanos.  Cualquier pequeña intuición que podemos oir, no la escuchamos.  No nos relacionamos con ella.;;Wir Menschen haben eine sehr unterentwickelte Fähigkeit zum Zuhören. Selbst wenn wir ein wenig intuitiv sind und ein wenig Wahrheit erlauschen könnten, tun wir es nicht. Wir haben keine Beziehung dazu.;A audição é muito fraca nos humanos. Qualquer pequena intuição que podemos ouvir, não ouvimos. Nós não nos relacionamos para isso.;L’écoute est très faible chez l’être humain. N’importe quelle petite intuition que nous pourrions entendre, nous ne l’écoutons pas. Nous ne nous y relions pas. 
86;Text;;Yogi Bhajan;28/6/1998;You have to bounce in life with joy - your strength lies in your smiles and your songs. ;Tienes que brincar por la vida con gozo- tu fuerza yace en tus sonrisas y tus canciones.;;Tanze voller Freude über die Erde  – deine Stärke liegt in deinem Lachen und in deinen Liedern;Você deve se mover na vida com júbilo – sua força está em seus sorrisos e em suas canções.;Vous devez rebondir dans la vie avec joie, votre force repose dans vos sourires et vos chansons.
87;Text;;Yogi Bhajan;27/3/1979;If a person is very acknowledging and has all essences in harmony, then he can use his subtle body. And the subtle beam is so powerful that it can move the unmovable just by thought. ;Si una persona es muy reconocedora y tiene todas las esencias en armonía, entonces puede usar su cuerpo sutil.  Y el rayo sutil es tan poderoso que puede mover lo inamovible sólo por el pensamiento.;;Wenn ein Mensch sehr viel akzeptieren kann  und die wesentlichen Essenzen im Gleichgewicht hat, dann vermag er seinen Subtilkörper zu benutzen. Dessen subtiler Strahl ist so mächtig, dass er Unbewegliches bewegen kann allein durch den Gedanken.;Se uma pessoa é muito reconhecida e tem todas as essenncias em harmonia, então pode usar seu corpo sutil. E o feixe de luz sutil é tão poderoso que pode mover o imóvel apenas pelo pensamento.;Si une personne est vraiment reconnaissante et que toutes ses essences sont en harmonie, alors cette personne peut utiliser son corps subtil. Et le faisceau du corps subtil est si puissant qu’il peut déplacer l’immuable simplement par la pensée. 
88;Text;;Yogi Bhajan;15/7/1982;Prayer is the power of God in you. You don’t do prayer to the outside, you do prayer from the inside. You do prayer from inside to inside. ;Prayer is the power of God in you. You don’t do prayer to the outside, you do prayer from the inside. You do prayer from inside to inside. 7/15/82;;Das Gebet ist Gottes Kraft in dir. Du betest nicht nach außen, du betest von innen her. Du betest von innen nach innen.;A oração é o poder de Deus em você. Você não faz oração para o exterior, você ora do interior. Você ora a partir do interior para o interior.;La prière est la puissance de Dieu en vous. Vous ne priez pas vers l’extérieur, vous priez de l’intérieur. Vous priez de l’intérieur vers l’intérieur. 
89;Text;;Yogi Bhajan;2/5/2000;Laugh because that is your purpose in life.  Love because that is what you came here for. Shine because that is important. Share because it is demanded of you. ;Ríe porque ese es tu propósito en la vida.  Ama porque eso es a lo que viniste.  Brilla porque eso es importante.  Comparte porque eso se requiere de ti.;;Lache, das ist der Grund des Lebens. Liebe, dewegen bist du  hierher gekommen. Sei strahlend, das ist wichtig. Teile mit anderen, das ist von dir gefragt.;Ria porque esse é o seu propósito na vida. Ame porque é para isso que você veio aqui. Brilhe porque isoo é importante. Compartilhe porque isto é requerido de você.;Riez, parce que c’est votre dessein dans la vie. Aimez, parce que c’est pour cela que vous êtes venu ici. Rayonnez, parce que c’est important. Partagez, parce que cela vous est exigé.
90;Text;;Yogi Bhajan;15/8/2000;Every thought should add to your identity.  If you want happiness, it must add to your reality. A thought which does not add to your identity and does not become your reality will be your destruction. ;Cada pensamiento debiera estar en línea con tu identidad.  Si quieres felicidad, debe estar en línea con tu realidad.  Un pensamiento que no está en línea con tu identidad y no se vuelve tu realidad será tu destrucción.;;"Jeder Gedanke soll dein wahres Wesen mehr manifestieren.
Willst du glücklich sein, muss er deine Selbstverwirklichung fördern. Ein Gedanke, der dein wahres Wesen nicht stärkt und nicht deine Selbstverwirklichung fördert, wird deine Selbstzerstörung fördern.
";Todo pensamento deveria contribuir à sua identidade. Se você quer felicidade, sua identidade deve contribuir à sua realidade. Um pensamento que não contribui à sua identidade e não se torna sua realidade, será sua destruição.;Chaque pensée devrait accroître votre identité. Si vous voulez le bonheur, il faut accroître votre réalité. Une pensée qui n’accroît pas votre identité et ne devient pas votre réalité, sera votre destruction. 
91;Text;;Yogi Bhajan;"
The Teachings of Yogi Bhajan";A relaxed mind is a creative mind and a creative mind is a relaxed mind and only a relaxed mind can become a one-pointed mind, and a one- pointed mind is the most wonderful mind. It is the most powerful, it can do anything. ;Una mente relajada es una mente creativa, y una mente creativa es una mente relajada y solo una mente relajada puede volverse una mente enfocada, y una mente enfocada es la más maravillosa mente.  Es lo más poderoso, puede hacer cualquier cosa. ;;Ein leerer entspannter Geist ist schöpferisch und ein schöpferischer Geist ist leer. Nur wenn der Geist leer und entspannt ist, kann er sich auf einen Punkt konzentrieren. Ein solch wundervolles Bewusstsein steht über allem. Es ist das kraftvollste, was es gibt, es kann alles verwirklichen.;Uma mente relaxada é uma mente criativa e somente uma mente criativa é uma mente relaxada e somente uma mente relaxada pode tornar-se uma mente objetiva e uma mente objetiva é a mente mais maravilhosa, ela pode fazer qualquer coisa.;Un mental relaxé est un mental créatif et un mental créatif est un mental relaxé et seul un mental relaxé peut devenir un mental performant et un mental performant est le plus merveilleux des mentaux. C’est le plus puissant, il peut tout faire.
92;Text;;Yogi Bhajan;The Science of Keeping Up;Whenever I do something I ask myself: Will it exalt me? Will it show my excellence? Will it prove I am a human? Would I like this to happen to me? And finally, within my best knowledge, is it the best I can do? These five aspects I will always compute and consider. ;Cuando sea que hago algo, me pregunto a mi mismo: ¿Esto me va a exaltar?  ¿Mostrará mi excelencia? ¿Probará que soy un humano? ¿Me gustaría que esto me pasara a mi? Y por último, dentro de mi mejor conocimiento, ¿Es lo mejor que puedo hacer? Estos cinco aspectos siempre los voy a computar y a considerar.;;Immer wenn ich etwas tue, frage ich mich: Werde ich dadurch wachsen und  meine Stärken entwickeln?  Wird es zeigen, dass ich menschlich bin? Würde ich mich freuen, wenn es mir geschähe? Und letztlich: Ist es, nach bestem Wissen und Gewissen, das Beste, was ich tun kann? Diese fünf Aspekte will ich immer durchgehen und bedenken.;Sempre que faço algo, me pergunto: Isso me exaltará? Mostrará minha excelência? Irá provar que sou um humano? Eu gostaria que isto acontecesse pra mim? E finalmente, dentro do meu melhor conhecimento, é o melhor que posso fazer? Estes cinco aspectos irei sempre computar e considerar. ;Chaque fois que je fais quelque chose, je me pose la question : cela va-t-il m’exalter? Démontrer mon excellence? Prouver que je suis humain? Aimerais-je que cela m’arrive? Et enfin, à ma connaissance, est-ce que c’est le mieux que je peux faire? Je vais toujours estimer et considérer ces cinq aspects. 
93;Text;;Yogi Bhajan;7/2/2000;Old age cannot be lived without grace. And grace cannot be achieved without meditation. Meditation is not a human requirement. It is a necessity.;La vida anciana no puede ser vivida sin gracia.  Y la gracia no puede alcanzarse sin meditación.  La meditación no es un requerimiento humano.  Es una necesidad.;;Alter braucht Anmut. Anmut aber kann nicht ohne Meditation erlangt werden. Meditation ist nicht Voraussetzung, Mensch zu sein. Es ist eine Notwendigkeit.;Idade avançada não pode ser vivida sem graça. E graça não pode ser alcançada sem meditação. Meditação não é uma exigência humana. É uma necessidade.;La vieillesse ne peut pas vivre sans grâce. Et on ne peut pas atteindre la grâce sans la méditation. La méditation n’est pas une exigence humaine. C’est une nécessité. 
94;Text;;Yogi Bhajan;19/4/2000;If you do not have the power to elevate others, you have absolutely no power. ;Si tú no tienes el poder de elevar a otros, no tienes ningún poder.;;Wenn du nicht die Kraft hast, andere zu erheben, hast du überhaupt keine Kraft.;Se você não tem o poder de elevar a outros, você não tem absolutamente nenhum poder. ;Si vous n’avez pas le pouvoir d’élever les autres, vous n’avez absolument aucun pouvoir. 
95;Text;;Yogi Bhajan;The Man Called the Siri Singh Sahib;Our function is to create teachers, not disciples. But we share all knowledge to build the basic foundation of everybody. So that through His Grace of Light, through the shine in your eyes, through your life, through your inspiration, people should love to know why you are so divine, so shining, so beautiful. Your existence should be a hope.;Nuestra función es crear profesores, no discípulos.  Pero compartimos todo el conocimiento para construir el fundamento básico de todas las personas. De este modo a través de Su Luz de Gracia, a través del brillo de tus ojos, a través de tu vida, a través de tu inspiración, las personas amarán conocer porqué tú eres tan divino, tan brillante, tan hermoso.  Tu existencia será una esperanza.;;Unsere Aufgabe ist es, Lehrer zu erschaffen, nicht Schüler. Doch wir teilen alles Wissen, um allen das  Grundlegende zu vermitteln. Durch Seine lichtspendende Gnade sollen Menschen durch dein Leben, durch deine Inspiration herauszufinden, warum du so göttlich, so strahlend, so wunderschön bist. Deine Existenz soll eine Hoffnung sein.;Nossa função é criar professores, não discípulos. Mas compartilhamos todo o conhecimento para construir o alicerce básico de todos. Por isso que através da Graça de Luz Dele, através do brilho dos seus olhos, através da sua vida, através da sua inspiração, as pessoas deveriam amar saber por que você é tão divino, tão brilhante, tão bonito. Sua existência deve ser uma esperança. ;Notre fonction est de créer des enseignants, pas des disciples. Mais nous partageons toutes les connaissances, afin d’établir la fondation de base pour tout le monde. Alors par la grâce de Sa lumière, à travers l’éclat de vos yeux, par l’intermédiaire de votre vie et de votre inspiration, les gens aimeront savoir pourquoi vous êtes aussi divins, radieux et magnifiques. Votre existence doit être un espoir.
96;Text;;Yogi Bhajan;The Teachings of Yogi Bhajan;The law of equilibrium is the law of happiness. Everything can be sacrificed but equilibrium.;La ley del equilibrio es la ley de la felicidad.  Todo puede sacrificarse, excepto el equilibrio.;;"Das Gesetz des Gleichgewichts ist das Gesetz des Glücks.
Alles kann aufgegeben  werden, aber nicht das Gleichgewicht.";A lei do equilíbrio é a lei da felicidade. Tudo pode ser sacrificado menos o equilíbrio. ;La loi de l’équilibre est la loi du bonheur. Tout peut être sacrifié, mais équilibrez. 
97;Text;;Yogi Bhajan;25/12/1991;Prosperity, prosperity, prosperity is perpetual with people who prefer to be penetrating, prepared and purposeful. But prosperity only comes to those who are trustworthy, deliver, and are content and consistent. Basically it boils down to commitment. If you put your soul into anything you can plug the whole world. It will be yours. You can sweep prosperity with your commitment. Contain, commit and be continuous. ;La prosperidad, prosperidad, prosperidad es perpetua con las personas que prefieren ser penetrantes, preparadas y llenas de propósito.  Pero la prosperidad solo viene a aquellos que son confiables, entregan y están contentos y son consistentes.  Básicamente se reduce a compromiso.  Si tú pones tu alma en cualquier cosa puedes enchufar al mundo entero.  Será tuyo.  Puedes arrasar en prosperidad con tu compromiso.  Contiene, comprométete y sé continuo. ;;Der Wohlstand, der Wohlstand, erblühen werden alle die Menschen, die ein sinnvolles, organisiertes, alles durchdringendes Leben wählen. Aber diese Blütezeit kommt nur zu denen, die vertrauenswürdig, in sich ruhend und friedvoll sind und Ergebnisse erbringen können. Im Endeffekt kommt alles darauf an, Verantwortung zu übernehmen. Wenn du deine Seele in etwas investieren kannst, kannst du die ganze Welt umpflügen. Sie wir dein sein. Du kannst mit deiner Hingabe alles zum Blühen bringen. Nimm es in dich auf und  gebe dich ihm dauerhaft verantwortungsvoll hin.;Prosperidade, prosperidade, prosperidade é contínua com pessoas que preferem serem penetrantes, preparadas e com propósito. Mas prosperidade somente vem para aqueles que são dignos de confiança, entregam, estão satisfeitos e são consistentes. Basicamente resultam em compromisso. Se você colocar sua alma em qualquer coisa, você pode promover o mundo inteiro. Ele será seu. Você pode vencer facilmente prosperidade com seu compromisso. Contenha, comprometa-se e seja contínuo.;La prospérité,  la prospérité, la prospérité est perpétuelle chez  ceux qui préfèrent être pénétrants, préparés et résolus. Mais la prospérité ne vient qu’à ceux qui sont dignes de confiance, tiennes leurs engagements, sont satisfaits et cohérents. En deux mots, cela se résume à l'engagement. Si vous vous mettez avec votre âme dans quelque chose,  vous pouvez vous brancher sur le monde entier. Il sera à vous. Vous pouvez être à la portée de la prospérité grâce à votre engagement. Gardez la maîtrise, engagez-vous et soyez constant.
98;Text;;Yogi Bhajan;The Teachings of Yogi Bhajan;God means total creativity, but the power of love is beyond that. Because all of creativity is the offering of love. Total existence is based on love. ;Dios significa total creatividad, pero el poder del amor esta más allá de eso.  Porque toda la creatividad es la ofrenda del amor.  La existencia total se basa en el amor. ;;Gott - das  ist totale Kreativität, aber die Kraft der Liebe ist noch jenseits davon. Denn alle Kreativität ist ein Ausdruck der Liebe. Die gesamte Existenz basiert auf Liebe.;Deus significa criatividade total, mas o poder do amor está, além disso. Porque toda criatividade é o oferecimento do amor. Existência total está baseada no amor. ;Dieu signifie créativité totale, mais le pouvoir de l’amour est au-delà de cela. Parce que toute la créativité est une offrande d’amour. L’existence totale est basée sur l’amour. 
99;Text;;Yogi Bhajan;The Mind;If you are spiritual, it is not possible to be insensitive. The two do not go together.;Si tú eres espiritual, no es posible ser insensible.  Los dos no van juntos.;;Wenn du spirituell bist, ist es  nicht möglich, dass du unsensibel bist. Diese beiden passen nicht zusammen.;Se você é spiritual, não é possível ser insensível. Os dois não vão junto. ;Si vous êtes spirituel, ce n’est pas possible d’être insensible. Les deux ne sont pas compatibles.
